TdA_spi1,A_spi2,TdA_prob1,A_prob2,probtie,TdA_proj_score1,A_proj_score2,Min,xG
72.59,59.89,0.6027,0.1659,0.2314,1.9,0.88,90,0.7
72.08,69.95,0.3272,0.4141,0.2587,1.37,1.57,90,0.0
71.19,61.9,0.5637,0.2014,0.2348,1.91,1.05,90,0.8
72.31,63.53,0.4214,0.3236,0.2551,1.62,1.39,90,0.8
73.09,67.12,0.5282,0.237,0.2347,1.93,1.23,90,0.2
71.66,54.43,0.4984,0.2548,0.2468,1.78,1.21,90,0.3
73.31,58.69,0.6346,0.1499,0.2155,2.05,0.88,90,0.4
73.04,59.76,0.4612,0.2821,0.2567,1.65,1.24,46,0.1
72.38,71.15,0.465,0.2763,0.2587,1.64,1.21,90,0.5
72.76,57.02,0.4742,0.2569,0.2689,1.55,1.07,90,0.4
74.26,80.81,0.3588,0.3852,0.256,1.49,1.55,90,0.0
74.89,58.03,0.5137,0.2362,0.2502,1.75,1.11,90,0.1
74.13,55.05,0.6616,0.1282,0.2103,2.06,0.77,90,1.2
76.83,56.93,0.5534,0.1974,0.2492,1.75,0.94,85,0.0
76.81,79.37,0.2745,0.4837,0.2418,1.34,1.84,23,0.0
76.22,54.58,0.6994,0.0987,0.2019,2.05,0.61,88,0.2
76.58,67.8,0.4433,0.2958,0.261,1.59,1.26,90,0.8
77.41,60.44,0.6743,0.1225,0.2032,2.12,0.77,90,0.5
76.37,85.02,0.3141,0.4367,0.2491,1.42,1.71,90,0.3
77.1,56.11,0.5484,0.2205,0.2311,1.97,1.18,90,1.9
77.17,77.02,0.4771,0.2779,0.245,1.8,1.32,90,0.8
77.74,58.95,0.5578,0.2092,0.233,1.94,1.1,90,1.4
76.24,64.44,0.6352,0.1561,0.2086,2.16,0.97,90,0.3
75.54,82.12,0.24,0.5401,0.2198,1.38,2.15,90,0.2
74.93,51.26,0.7082,0.1169,0.1748,2.5,0.93,81,1.8
75.15,61.59,0.5677,0.2018,0.2305,1.96,1.08,90,1.1
75.44,73.0,0.4048,0.3375,0.2577,1.57,1.41,69,0.4
74.15,59.04,0.5544,0.2011,0.2445,1.8,0.99,18,0.0
72.54,75.87,0.3113,0.4327,0.256,1.35,1.63,90,0.1
71.82,56.71,0.5111,0.2479,0.241,1.86,1.23,90,0.1
72.55,45.59,0.6318,0.1629,0.2053,2.23,1.04,14,0.6
73.15,60.67,0.5054,0.2461,0.2485,1.77,1.16,90,0.5
73.36,80.99,0.2979,0.4663,0.2358,1.49,1.9,90,0.0
74.31,68.53,0.4167,0.3149,0.2684,1.49,1.26,90,0.6
75.34,57.61,0.4596,0.294,0.2464,1.76,1.37,90,0.8
80.06,65.93,0.4849,0.2549,0.2602,1.62,1.1,90,0.8
80.67,76.06,0.5042,0.2375,0.2584,1.64,1.05,90,0.5
80.02,75.51,0.3578,0.3748,0.2674,1.36,1.4,90,0.2
79.27,54.16,0.7776,0.0629,0.1595,2.33,0.51,90,0.6
77.41,56.02,0.5407,0.2072,0.2521,1.7,0.96,90,0.9
77.65,77.89,0.4429,0.31,0.2471,1.71,1.4,90,0.2
79.17,57.24,0.5651,0.2013,0.2336,1.9,1.04,90,0.5
79.14,57.59,0.7253,0.0895,0.1852,2.18,0.61,90,1.2
78.46,84.44,0.2388,0.5145,0.2467,1.13,1.76,90,0.1
77.88,71.97,0.3938,0.3445,0.2617,1.49,1.38,90,1.2
79.25,64.12,0.6635,0.1367,0.1997,2.19,0.88,23,0.1
79.38,59.66,0.5566,0.209,0.2345,1.9,1.08,20,0.3
75.71,90.74,0.1373,0.6605,0.2022,0.87,2.16,12,0.0
75.82,65.66,0.5959,0.1829,0.2212,2.03,1.03,15,0.1
76.73,54.55,0.5935,0.1819,0.2246,1.98,1.0,83,0.4
77.7,69.44,0.5903,0.177,0.2327,1.88,0.92,90,0.8
77.76,79.83,0.2943,0.4765,0.2293,1.52,1.97,90,0.6
77.28,74.4,0.503,0.2491,0.2478,1.75,1.16,90,0.4
77.51,54.8,0.5893,0.1954,0.2153,2.13,1.15,90,0.6
78.19,55.92,0.7389,0.0896,0.1715,2.36,0.69,90,0.2
76.73,51.2,0.6067,0.1754,0.2179,2.06,1.01,90,0.6
76.22,75.0,0.3585,0.3911,0.2505,1.51,1.59,90,0.3
74.63,56.5,0.5349,0.227,0.2382,1.86,1.14,90,0.3
74.2,82.32,0.3981,0.3493,0.2526,1.58,1.47,90,0.1
73.25,69.0,0.5431,0.2296,0.2273,2.0,1.24,90,0.3
73.06,69.27,0.3835,0.3791,0.2374,1.72,1.71,25,0.0
73.46,56.56,0.6625,0.1411,0.1964,2.26,0.94,90,0.7
73.49,81.37,0.2668,0.4881,0.245,1.26,1.78,90,0.4
73.51,60.1,0.6561,0.1424,0.2015,2.19,0.91,90,0.4
74.38,61.7,0.4991,0.2537,0.2471,1.76,1.19,90,0.3
73.46,82.5,0.3597,0.3873,0.2531,1.49,1.56,90,1.0
73.84,61.61,0.4779,0.2801,0.242,1.81,1.34,90,0.3
74.67,51.27,0.6192,0.1679,0.2129,2.11,1.0,61,0.5
81.61,70.13,0.4273,0.3195,0.2532,1.69,1.44,90,0.1
81.51,77.95,0.5063,0.2639,0.2298,2.06,1.44,90,0.3
79.43,43.57,0.8429,0.0353,0.1219,2.65,0.39,90,2.5
80.3,42.17,0.6887,0.1169,0.1944,2.26,0.81,90,1.8
81.14,57.3,0.7574,0.0794,0.1632,2.48,0.67,71,0.8
80.71,72.82,0.393,0.3552,0.2519,1.65,1.56,90,0.2
81.23,85.55,0.3862,0.3677,0.2461,1.7,1.65,90,0.2
80.73,61.5,0.5421,0.2362,0.2217,2.17,1.39,90,0.2
80.87,46.28,0.8372,0.035,0.1277,2.55,0.36,90,1.2
80.52,56.74,0.6994,0.0918,0.2089,1.98,0.56,90,0.5
80.71,67.18,0.4547,0.2881,0.2572,1.69,1.3,90,0.4
81.21,78.71,0.4932,0.2647,0.2421,1.88,1.33,90,0.4
80.69,57.39,0.5342,0.2102,0.2556,1.73,0.99,90,0.8
80.4,49.58,0.8078,0.045,0.1472,2.39,0.4,90,2.3
79.9,53.59,0.5836,0.1874,0.2291,2.01,1.05,26,0.5
80.08,55.52,0.7655,0.0733,0.1612,2.46,0.62,90,0.1
80.11,86.89,0.1901,0.5545,0.2554,0.9,1.72,90,0.2
80.21,56.55,0.7527,0.0715,0.1758,2.24,0.53,90,0.1
79.14,73.06,0.5261,0.2194,0.2545,1.74,1.04,90,0.6
78.3,76.5,0.3078,0.4205,0.2717,1.25,1.51,84,0.1
77.99,64.76,0.4585,0.2914,0.2501,1.77,1.37,90,1.1
78.13,64.55,0.6228,0.162,0.2152,2.13,0.99,90,0.2
77.22,45.86,0.6229,0.1567,0.2204,2.05,0.92,89,1.1
77.48,40.34,0.8492,0.0258,0.125,2.47,0.26,90,0.8
76.85,62.69,0.426,0.2922,0.2818,1.43,1.14,90,0.3
77.66,70.63,0.524,0.2055,0.2706,1.59,0.89,26,0.0
75.78,85.02,0.1693,0.5766,0.2541,0.81,1.72,90,0.3
78.11,50.52,0.5785,0.1813,0.2402,1.87,0.94,90,0.3
78.87,56.32,0.5169,0.2163,0.2668,1.62,0.95,29,0.2
79.28,70.55,0.5494,0.1916,0.259,1.69,0.89,90,0.7
80.17,76.52,0.3569,0.3892,0.2539,1.54,1.62,90,0.3
80.06,60.43,0.6452,0.1,0.2548,1.62,0.47,90,0.1
80.67,50.06,0.8052,0.042,0.1529,2.29,0.35,84,0.7
81.45,47.99,0.6625,0.1381,0.1993,2.28,0.94,90,0.1
81.12,85.64,0.3672,0.3552,0.2777,1.36,1.33,90,0.1
80.81,57.97,0.5331,0.2106,0.2564,1.72,0.99,90,0.6
78.16,92.24,0.1233,0.7052,0.1714,0.91,2.41,90,0.1
78.06,62.29,0.6852,0.1223,0.1925,2.1,0.75,90,0.8
77.42,73.56,0.5331,0.1977,0.2692,1.45,0.76,90,1.2
78.38,70.93,0.3369,0.3715,0.2916,1.06,1.13,90,0.6
78.09,77.8,0.4797,0.2727,0.2476,1.61,1.15,90,0.4
75.48,78.35,0.2291,0.5349,0.236,1.06,1.75,120,0.6
71.63,52.63,0.6513,0.1293,0.2193,1.99,0.75,73,1.6
73.01,73.26,0.4341,0.3156,0.2503,1.73,1.45,90,0.1
74.73,74.53,0.2749,0.4846,0.2405,1.38,1.89,90,0.1
75.27,58.72,0.4424,0.2792,0.2784,1.47,1.11,71,0.4
76.68,53.25,0.7247,0.0954,0.18,2.33,0.72,90,1.1
75.47,61.55,0.6459,0.1494,0.2047,2.23,0.98,90,0.0
75.92,63.16,0.4757,0.2786,0.2458,1.82,1.35,90,0.2
76.78,81.62,0.4476,0.5524,0.0,1.26,1.45,90,0.2
75.07,82.79,0.3167,0.4326,0.2507,1.41,1.68,90,0.8
75.65,61.16,0.4985,0.2437,0.2578,1.67,1.09,89,0.3
