TdA_spi1,A_spi2,TdA_prob1,A_prob2,probtie,TdA_proj_score1,A_proj_score2,Min,xG
71.21,49.23,0.6753,0.1191,0.2056,2.12,0.76,90,0.5
70.46,55.25,0.4437,0.2941,0.2622,1.62,1.28,90,0.4
70.76,74.82,0.3978,0.3401,0.2621,1.55,1.42,90,1.6
72.53,56.96,0.4481,0.29100000000000004,0.2609,1.64,1.28,90,1.3
73.41,84.38,0.305,0.4564,0.2385,1.53,1.91,90,0.0
71.82,42.28,0.5812,0.1792,0.2396,1.87,0.93,90,1.0
73.18,60.53,0.5903,0.183,0.2267,2.03,1.04,90,1.6
75.32,87.13,0.1517,0.6386,0.2097,0.96,2.18,76,1.1
77.47,55.07,0.7389,0.0946,0.1665,2.54,0.8,90,1.4
77.88,57.3,0.489,0.2435,0.2675,1.61,1.06,90,1.4
78.41,39.26,0.6964,0.1137,0.1899,2.3,0.81,90,0.4
78.71,81.21,0.2647,0.4932,0.2421,1.33,1.88,90,0.9
77.22,66.98,0.5748,0.1993,0.2259,2.06,1.14,90,0.1
76.64,65.15,0.4371,0.3186,0.2442,1.81,1.52,90,0.1
75.93,61.58,0.6137,0.168,0.2183,2.11,1.01,44,0.8
74.49,46.23,0.7781,0.0665,0.1554,2.48,0.58,90,0.5
75.65,77.53,0.2752,0.4839,0.241,1.39,1.9,90,0.0
75.99,49.79,0.5705,0.1984,0.2311,2.0,1.09,90,0.7
76.02,51.45,0.7514,0.0849,0.1636,2.51,0.72,35,0.0
76.82,57.86,0.6389,0.1305,0.2306,1.88,0.71,90,0.1
75.64,83.76,0.1868,0.5813,0.2319,1.02,1.97,90,0.0
74.43,44.38,0.7965,0.0627,0.1408,2.68,0.63,84,1.1
76.09,55.36,0.5157,0.2434,0.2409,1.9,1.24,82,0.8
76.95,88.23,0.2639,0.4781,0.2579,1.2,1.7,79,0.0
75.7,50.94,0.5564,0.2096,0.234,1.97,1.13,90,0.1
76.32,55.39,0.6727,0.1223,0.205,2.14,0.78,90,0.2
75.45,42.15,0.823,0.0484,0.1286,2.72,0.53,74,1.1
77.0,57.16,0.4989,0.251,0.25,1.79,1.21,72,0.6
76.52,80.17,0.3892,0.3569,0.2539,1.62,1.54,82,0.3
76.15,71.33,0.3312,0.4005,0.2683,1.34,1.5,88,0.6
77.05,61.38,0.6347,0.1639,0.2014,2.34,1.11,90,1.4
78.24,65.61,0.4283,0.3141,0.2577,1.65,1.38,14,0.0
78.71,77.41,0.4545,0.2912,0.2543,1.72,1.33,75,0.0
77.89,82.73,0.3853,0.3555,0.2591,1.5,1.43,90,0.3
77.49,89.14,0.1465,0.6437,0.2098,0.88,2.09,90,0.0
77.18,53.99,0.7179,0.0973,0.1848,2.22,0.68,84,0.7
77.67,57.42,0.5457,0.2121,0.2422,1.81,1.04,90,0.3
77.54,60.29,0.675,0.1227,0.2023,2.11,0.77,90,0.9
77.88,60.52,0.5291,0.2229,0.2479,1.75,1.05,35,0.0
77.89,77.65,0.31,0.4429,0.2471,1.4,1.71,90,0.4
75.7,73.19,0.4861,0.2626,0.2513,1.71,1.19,84,0.2
75.84,54.16,0.5676,0.2009,0.2315,1.92,1.06,90,1.6
77.72,80.67,0.4039,0.335,0.261,1.51,1.36,90,0.3
76.72,57.88,0.6881,0.1102,0.2017,2.07,0.69,90,0.5
76.57,64.47,0.4743,0.2751,0.2506,1.71,1.25,90,0.3
76.95,76.24,0.4591,0.2815,0.2593,1.6,1.2,90,0.5
76.05,51.58,0.589,0.1799,0.231,1.91,0.95,90,0.6
76.04,63.16,0.6354,0.15,0.2145,2.04,0.88,90,1.1
75.71,77.5,0.2939,0.4597,0.2464,1.35,1.74,90,0.4
76.27,60.54,0.6542,0.1298,0.21600000000000005,1.97,0.74,90,0.5
76.25,55.42,0.536,0.2143,0.2497,1.73,1.0,30,0.2
77.27,68.53,0.5986,0.1599,0.2415,1.77,0.79,90,0.5
76.44,83.28,0.247,0.498,0.255,1.1,1.67,90,0.2
76.54,89.55,0.2863,0.4481,0.2656,1.18,1.54,81,0.6
77.07,48.46,0.6044,0.1679,0.2277,1.93,0.9,90,0.1
76.01,59.57,0.5114,0.2366,0.252,1.71,1.08,54,0.0
75.0,76.22,0.3911,0.3585,0.2505,1.59,1.51,27,0.8
75.78,70.32,0.392,0.3399,0.2681,1.43,1.31,90,0.5
76.55,79.74,0.2671,0.4643,0.2687,1.09,1.52,90,0.2
77.13,56.88,0.5505,0.1927,0.2568,1.65,0.87,90,0.2
76.57,62.5,0.6565,0.1269,0.2166,1.96,0.72,90,1.4
76.85,74.62,0.3032,0.4127,0.2841,1.11,1.34,90,0.6
76.64,56.82,0.66,0.125,0.2151,1.97,0.72,90,0.4
76.35,50.69,0.7596,0.0671,0.1733,2.19,0.48,90,0.3
75.29,68.76,0.3762,0.3603,0.2635,1.44,1.4,27,0.1
75.77,81.96,0.3095,0.4335,0.2569,1.31,1.6,90,0.0
74.52,58.84,0.4113,0.3218,0.2669,1.47,1.28,7,0.0
74.32,66.62,0.5278,0.2174,0.2548,1.68,0.98,90,0.5
73.08,68.61,0.3542,0.3737,0.2721,1.32,1.36,90,0.3
77.98,45.29,0.7879999999999999,0.0496,0.1623,2.28,0.4,30,0.9
77.46,66.49,0.4089,0.3278,0.2634,1.61,1.42,90,0.0
77.03,71.36,0.3463,0.3901,0.2635,1.47,1.57,90,0.3
77.02,69.52,0.542,0.2154,0.2426,1.92,1.13,90,0.1
74.73,82.66,0.1952,0.5634,0.2415,1.04,1.92,90,0.4
68.51,61.95,0.3718,0.3571,0.2711,1.39,1.35,90,1.2
69.95,72.08,0.4141,0.3272,0.2587,1.57,1.37,90,0.6
70.83,53.89,0.474,0.2655,0.2604,1.63,1.16,90,0.8
69.65,57.15,0.5789,0.1793,0.2419,1.81,0.89,62,0.2
70.55,80.89,0.1946,0.5659,0.2395,0.99,1.85,38,0.0
71.23,58.89,0.5826,0.1808,0.2366,1.87,0.93,85,0.3
71.62,64.17,0.3971,0.3293,0.2736,1.42,1.27,60,0.2
71.07,71.01,0.4323,0.3175,0.2503,1.69,1.42,90,1.8
70.51,70.56,0.3031,0.4385,0.2585,1.3,1.61,90,0.1
71.72,61.08,0.5857,0.1816,0.2327,1.91,0.96,90,0.9
72.93,71.16,0.3488,0.3846,0.2666,1.37,1.45,59,0.4
73.45,52.21,0.6832,0.121,0.1958,2.21,0.81,90,1.1
72.69,61.3,0.4651,0.2884,0.2465,1.77,1.35,90,0.3
72.2,55.06,0.6568,0.131,0.2122,2.04,0.78,90,1.4
73.09,85.93,0.2597,0.5031,0.2372,1.31,1.9,84,1.1
73.4,59.83,0.4858,0.2707,0.2435,1.82,1.31,90,0.6
74.02,55.2,0.52,0.2348,0.2452,1.8,1.14,90,1.0
74.98,78.3,0.4161,0.3339,0.25,1.67,1.47,90,0.4
75.52,63.46,0.6069,0.159,0.2342,1.86,0.83,90,2.4
77.02,77.17,0.2779,0.4771,0.245,1.32,1.8,90,0.0
76.53,53.95,0.6859999999999999,0.1169,0.1971,2.18,0.77,90,0.6
76.76,62.07,0.6541,0.1379,0.2081,2.11,0.85,90,0.5
76.23,57.85,0.5436,0.2188,0.2376,1.89,1.12,90,0.2
76.67,79.12,0.3947,0.3502,0.2551,1.57,1.47,90,1.1
77.22,60.07,0.5165,0.2387,0.2448,1.81,1.16,90,0.4
77.05,63.19,0.6594,0.1378,0.2028,2.18,0.88,83,0.5
76.44,82.33,0.3014,0.4707,0.228,1.59,2.02,90,0.1
75.33,67.8,0.5283,0.2231,0.2486,1.77,1.06,90,0.9
75.79,55.48,0.6014,0.1777,0.2209,2.05,1.02,90,0.7
74.15,46.98,0.613,0.1828,0.2042,2.3,1.19,90,0.7
72.6,64.25,0.5117,0.2542,0.2341,1.94,1.32,90,0.3
71.26,60.13,0.4583,0.2726,0.2691,1.54,1.12,90,0.2
71.2,83.23,0.1974,0.5764,0.2263,1.09,2.01,90,0.8
70.66,56.29,0.5127,0.234,0.2533,1.72,1.08,89,0.7
71.11,60.83,0.4285,0.3038,0.2677,1.51,1.23,90,1.6
71.77,44.83,0.5321,0.2394,0.2285,2.02,1.3,90,2.1
72.03,77.3,0.3269,0.4114,0.2617,1.35,1.54,90,0.2
72.03,60.1,0.5905,0.1634,0.2461,1.78,0.81,90,0.1
70.79,65.85,0.3213,0.4224,0.2563,1.41,1.65,18,0.1
73.63,68.19,0.5468,0.2109,0.2423,1.87,1.07,90,0.3
74.31,60.3,0.5055,0.2383,0.2562,1.72,1.1,67,0.1
71.54,56.69,0.4933,0.2532,0.2535,1.71,1.16,90,0.5
72.56,79.68,0.3219,0.4307,0.2473,1.46,1.72,90,1.0
72.09,84.16,0.2566,0.5176,0.2258,1.41,2.06,68,0.0
