TdA_spi1,A_spi2,TdA_prob1,A_prob2,probtie,TdA_proj_score1,A_proj_score2,Min,xG
92.94,73.82,0.7989,0.0711,0.13,2.92,0.79,90,1.3
92.64,69.48,0.6752,0.1508,0.174,2.67,1.22,90,0.8
93.06,74.64,0.6002,0.188,0.2118,2.15,1.12,90,1.0
92.79,66.65,0.8467,0.0397,0.1136,2.79,0.47,90,2.2
93.37,72.36,0.6335,0.1645,0.202,2.24,1.05,65,0.8
93.88,67.07,0.8609,0.0325,0.1066,2.8,0.4,90,1.0
92.81,65.88,0.6705,0.1312,0.1982,2.18,0.85,90,0.8
92.14,61.48,0.8741,0.0327,0.0932,3.1,0.49,90,0.6
92.87,59.27,0.7541,0.0935,0.1524,2.69,0.86,90,0.8
93.08,77.19,0.7628,0.0847,0.1525,2.61,0.76,45,0.5
92.9,84.67,0.4859,0.2937,0.2204,2.1,1.6,90,1.2
93.0,68.0,0.8407,0.0421,0.1172,2.76,0.48,90,0.8
92.82,71.16,0.6566,0.1596,0.1838,2.52,1.19,90,0.8
92.34,59.49,0.887,0.0249,0.0881,3.03,0.38,90,1.7
92.27,70.22,0.6116,0.1682,0.2202,2.0,0.94,6,0.0
92.17,55.33,0.9079,0.0188,0.0733,3.23,0.35,90,1.2
92.07,60.42,0.7101,0.1091,0.1808,2.32,0.79,90,1.1
92.27,65.82,0.8443,0.0389,0.1168,2.72,0.44,77,0.8
91.79,67.76,0.8235,0.0507,0.1258,2.72,0.54,90,0.6
91.57,62.56,0.6971,0.1255,0.1774,2.47,0.96,27,0.2
91.52,72.62,0.7759,0.0739,0.1502,2.55,0.66,90,1.6
91.07,65.44,0.6476,0.1505,0.2019,2.2,0.96,11,0.8
92.02,63.76,0.8549,0.0363,0.1088,2.83,0.45,90,1.6
92.48,60.58,0.8784,0.0212,0.1004,2.71,0.26,90,2.2
93.27,73.44,0.6216,0.1736,0.2048,2.22,1.09,18,0.1
92.38,78.86,0.7334,0.1056,0.161,2.63,0.91,90,2.3
93.08,68.0,0.847,0.0448,0.1082,3.0,0.58,20,0.6
93.48,63.11,0.7406,0.1034,0.156,2.71,0.93,23,0.0
93.6,58.4,0.7972,0.0783,0.1246,3.15,0.95,77,1.3
93.39,65.82,0.8588,0.0301,0.111,2.68,0.35,90,1.0
91.88,71.37,0.7976,0.0666,0.1358,2.77,0.69,90,1.2
91.88,66.97,0.6559999999999999,0.1425,0.2015,2.21,0.92,90,0.3
92.51,72.56,0.7933,0.0691,0.1376,2.76,0.71,90,0.2
92.82,71.32,0.6096,0.1743,0.2161,2.09,1.03,78,0.8
92.65,62.65,0.7148,0.113,0.1722,2.51,0.9,90,0.6
91.91,66.65,0.8407,0.0492,0.1101,3.07,0.65,90,0.8
90.93,62.34,0.7133,0.1081,0.1786,2.38,0.81,90,1.8
91.74,61.15,0.7381,0.0913,0.1706,2.4,0.71,90,0.3
91.78,59.88,0.8968,0.0206,0.0826,3.07,0.33,90,0.8
91.64,80.81,0.4953,0.2759,0.2289,2.0,1.46,90,1.3
91.15,51.68,0.9244,0.0141,0.0615,3.42,0.31,90,1.3
90.23,64.79,0.703,0.1278,0.1692,2.67,1.08,90,0.8
90.46,54.17,0.9143,0.0176,0.0681,3.36,0.36,90,0.9
91.16,55.66,0.7861,0.0828,0.1311,3.09,0.96,90,1.4
91.91,77.15,0.7495,0.0925,0.158,2.61,0.82,90,0.5
91.85,75.41,0.585,0.204,0.2109,2.23,1.26,89,0.0
92.26,75.11,0.613,0.195,0.1921,2.54,1.4,90,0.7
92.51,57.39,0.9235,0.0145,0.062,3.42,0.32,90,1.3
92.42,74.78,0.6341,0.173,0.1929,2.45,1.22,90,0.3
91.99,71.01,0.852,0.0375,0.1105,2.84,0.46,90,0.9
91.92,62.06,0.7651,0.0906,0.1442,2.87,0.92,90,0.3
91.5,65.63,0.8854,0.0276,0.087,3.16,0.44,90,0.0
91.05,70.9,0.61,0.1836,0.2064,2.25,1.17,90,2.6
91.95,67.9,0.8413,0.0434,0.1153,2.85,0.52,90,1.6
92.11,58.35,0.9283,0.0121,0.0596,3.39,0.27,90,1.0
92.54,60.64,0.7944,0.0724,0.1332,2.9,0.79,90,1.3
