TdA_spi1,A_spi2,TdA_prob1,A_prob2,probtie,TdA_proj_score1,A_proj_score2,Min,xG
82.16,60.38,0.7051,0.0992,0.1957,2.19,0.53,90,0.8
82.92,56.94,0.5796,0.1782,0.2423,1.82,0.89,90,0.6
84.32,62.94,0.7527,0.0744,0.1729,2.27,0.56,90,1.3
84.68,61.39,0.5488,0.1919,0.2593,1.66,0.87,90,1.0
84.49,64.09,0.6978,0.1031,0.1991,2.11,0.66,90,0.9
85.13,61.6,0.5579,0.1903,0.2517,1.73,0.9,90,0.8
86.55,54.33,0.8448,0.0345,0.1207,2.63,0.38,90,0.9
86.94,77.8,0.4339,0.3102,0.2559,1.64,1.36,90,0.2
86.08,45.27,0.7162,0.0884,0.1954,2.08,0.57,90,0.1
84.39,84.51,0.4432,0.2852,0.2717,1.51,1.16,90,0.2
84.54,81.07,0.3489,0.3863,0.2648,1.39,1.48,90,0.1
83.93,54.28,0.8095,0.0385,0.1521,2.25,0.31,90,0.8
83.67,52.02,0.8228,0.034,0.1432,2.31,0.3,90,0.6
83.06,61.87,0.5462,0.2119,0.2419,1.85,1.06,90,0.3
82.94,81.46,0.3221,0.4194,0.2585,1.37,1.6,90,0.0
82.58,89.17,0.3433,0.409,0.2477,1.53,1.69,90,0.2
82.0,55.3,0.7863,0.0635,0.1502,2.5,0.57,90,0.4
81.4,53.5,0.5774,0.1737,0.2488,1.75,0.84,90,0.3
80.93,62.3,0.5111,0.2429,0.246,1.81,1.18,90,0.0
80.6,58.19,0.6868,0.0983,0.2149,1.92,0.57,90,0.2
79.94,60.58,0.6731,0.128,0.1989,2.21,0.85,14,0.2
79.76,52.31,0.7891,0.0661,0.1448,2.62,0.63,90,0.3
79.71,60.44,0.4763,0.2437,0.28,1.47,0.97,90,0.1
79.71,84.56,0.2313,0.5206,0.248,1.11,1.78,90,0.1
78.85,44.87,0.8268,0.033,0.1402,2.34,0.29,77,0.3
79.14,53.66,0.5646,0.194,0.2414,1.84,0.98,90,0.2
78.4,81.04,0.4138,0.318,0.2682,1.5,1.28,90,0.9
78.58,61.06,0.4786,0.2569,0.2645,1.6,1.11,90,0.1
78.99,88.25,0.3149,0.4337,0.2514,1.41,1.69,90,0.0
78.47,52.82,0.7609999999999999,0.0636,0.1754,2.17,0.46,90,0.6
78.9,90.2,0.1497,0.6337,0.2166,0.88,2.05,90,0.0
79.93,50.44,0.7981,0.0514,0.1505,2.39,0.44,90,0.4
78.5,56.89,0.5527,0.2227,0.2246,2.08,1.25,28,0.5
78.86,81.18,0.4371,0.3279,0.235,1.89,1.62,50,0.2
82.66,69.64,0.64,0.1385,0.2215,2.01,0.81,24,0.5
81.59,61.87,0.5265,0.2142,0.2593,1.7,0.99,90,0.3
80.53,85.5,0.3669,0.3739,0.2591,1.53,1.54,90,0.8
80.01,63.22,0.4815,0.2532,0.2653,1.63,1.12,90,1.6
80.97,69.83,0.4378,0.292,0.2702,1.55,1.22,90,0.5
82.0,66.04,0.6779,0.1107,0.2115,2.03,0.68,90,0.0
81.11,63.69,0.5027,0.2436,0.2538,1.76,1.15,90,0.2
79.78,65.93,0.6156,0.1427,0.2417,1.81,0.73,90,0.0
79.39,86.66,0.2033,0.564,0.2327,1.12,1.99,90,0.2
78.88,68.69,0.5959,0.1709,0.2332,1.94,0.93,26,0.2
79.05,95.0,0.0635,0.8018,0.1347,0.69,2.82,34,0.0
79.4,67.84,0.609,0.1607,0.2304,1.96,0.89,90,0.1
79.29,65.81,0.4406,0.2965,0.2629,1.62,1.29,85,0.6
79.26,82.22,0.3764,0.3733,0.2502,1.64,1.63,28,0.0
78.78,58.78,0.654,0.1379,0.2081,2.17,0.88,90,0.9
79.12,91.37,0.1161,0.6924,0.1915,0.83,2.3,90,0.0
78.36,64.51,0.6312,0.1616,0.2072,2.26,1.06,21,0.3
78.85,63.07,0.4742,0.2665,0.2592,1.69,1.21,28,0.7
79.78,85.14,0.246,0.5162,0.2378,1.29,1.95,18,0.1
79.67,62.95,0.6856,0.1102,0.2043,2.11,0.71,8,0.0
79.53,61.51,0.6768,0.1239,0.1993,2.23,0.84,66,0.4
79.7,71.38,0.4424,0.2973,0.2603,1.65,1.31,13,0.0
79.47,58.69,0.5503,0.2198,0.2299,2.05,1.23,90,0.1
78.92,92.14,0.227,0.5399,0.2331,1.24,2.01,90,0.1
79.02,72.87,0.4111,0.3177,0.2712,1.5,1.29,90,0.8
79.37,65.31,0.6604,0.1291,0.2105,2.11,0.81,90,1.0
80.51,80.73,0.302,0.4557,0.2423,1.49,1.87,90,1.1
79.74,70.53,0.4875,0.2544,0.258,1.71,1.17,72,0.4
79.65,61.78,0.7008,0.1132,0.18600000000000005,2.37,0.84,74,0.0
78.53,73.26,0.41,0.3218,0.2682,1.53,1.33,90,0.0
76.84,94.68,0.1526,0.65,0.1973,1.07,2.38,19,0.1
76.54,84.53,0.3421,0.4014,0.2565,1.49,1.63,90,0.2
80.09,53.85,0.7879,0.0588,0.1533,2.4,0.5,90,0.5
80.23,59.49,0.5635,0.2006,0.2359,1.9,1.04,90,1.1
80.52,60.62,0.7092,0.1018,0.189,2.21,0.7,64,0.0
79.62,76.86,0.3211,0.4089,0.27,1.27,1.46,90,0.6
80.89,70.55,0.5659,0.1946,0.2395,1.85,0.99,82,0.2
80.35,60.08,0.5443,0.2094,0.2463,1.78,1.01,35,0.3
80.21,87.29,0.3313,0.411,0.2577,1.39,1.58,90,0.1
80.06,59.57,0.5455,0.2157,0.2388,1.87,1.1,89,1.3
80.66,58.0,0.7312,0.0902,0.1787,2.28,0.66,90,0.8
80.47,56.32,0.5851,0.1839,0.231,1.93,0.98,85,0.1
