TdA_spi1,A_spi2,TdA_prob1,A_prob2,probtie,TdA_proj_score1,A_proj_score2,Min,xG
93.07,67.25,0.8715,0.0364,0.0921,3.16,0.55,90,1.5
92.62,64.9,0.6779,0.1395,0.1827,2.38,0.99,90,0.3
93.31,68.11,0.8683,0.035,0.0966,3.01,0.49,90,0.4
93.48,65.45,0.7025,0.1293,0.1682,2.58,1.03,90,0.9
93.27,65.45,0.8846,0.0272,0.0882,3.03,0.41,90,0.4
93.24,61.44,0.7334,0.1101,0.1565,2.68,0.96,90,0.6
92.14,57.6,0.9154,0.0219,0.0626,3.66,0.51,90,0.7
92.15,81.72,0.4423,0.3057,0.252,1.59,1.28,90,0.5
93.49,62.81,0.9038,0.0224,0.0739,3.28,0.41,90,1.7
92.86,71.44,0.6278,0.181,0.1913,2.39,1.22,90,0.3
92.64,75.63,0.7963,0.0737,0.13,2.87,0.79,76,1.3
93.33,94.4,0.4495,0.3291,0.2214,1.97,1.67,90,0.1
92.43,71.11,0.6345,0.1831,0.1824,2.56,1.34,90,0.2
91.97,70.7,0.8273,0.055,0.1177,2.89,0.64,90,1.6
91.39,63.47,0.8724,0.0364,0.0913,3.18,0.55,85,0.9
91.7,74.93,0.5677,0.2317,0.2006,2.33,1.45,90,2.3
91.96,58.38,0.7369,0.1087,0.1543,2.71,0.97,82,0.7
91.31,76.45,0.7654,0.0992,0.1354,3.05,1.07,90,1.7
92.05,64.16,0.7091,0.1372,0.1537,2.95,1.29,89,0.5
91.47,66.23,0.8547,0.043,0.1024,3.04,0.58,90,0.8
91.32,73.46,0.789,0.069,0.142,2.58,0.63,79,0.7
91.93,74.0,0.5685,0.2218,0.2098,2.16,1.29,90,1.1
91.93,72.46,0.8113,0.0647,0.1239,2.89,0.72,90,2.1
92.95,86.36,0.6154,0.1847,0.2,2.25,1.16,64,0.6
92.37,70.43,0.8377,0.0559,0.1064,3.19,0.76,90,0.5
90.72,91.03,0.3025,0.5042,0.1933,1.97,2.53,45,1.5
90.97,71.8,0.6041,0.2128,0.1831,2.64,1.56,62,0.3
89.44,55.66,0.7149,0.0958,0.1892,2.16,0.64,90,0.5
89.14,77.49,0.6437,0.1465,0.2098,2.09,0.88,90,1.2
89.39,54.15,0.7364,0.0872,0.1764,2.27,0.64,90,0.7
88.93,61.7,0.8482,0.0333,0.1186,2.61,0.36,90,2.1
88.67,50.58,0.755,0.08199999999999999,0.163,2.43,0.67,90,1.0
89.47,56.15,0.8847,0.0163,0.0989,2.65,0.2,90,0.1
89.31,83.94,0.5318,0.2106,0.2576,1.65,0.94,90,0.6
90.11,59.66,0.7165,0.0974,0.1861,2.2,0.67,90,0.6
90.72,59.06,0.8842,0.0216,0.0942,2.83,0.29,90,1.7
90.62,57.87,0.7271,0.0934,0.1795,2.27,0.67,90,1.0
90.48,58.78,0.8699,0.0226,0.1076,2.62,0.26,90,0.2
89.71,76.92,0.4891,0.2547,0.2561,1.66,1.13,90,0.6
90.19,56.68,0.8926,0.0156,0.0918,2.75,0.21,90,0.6
90.16,72.35,0.5609,0.1882,0.2509,1.71,0.88,79,1.1
90.44,82.22,0.6022,0.1663,0.2315,1.88,0.87,90,0.1
90.47,68.68,0.5964,0.1649,0.2387,1.8,0.83,90,1.1
90.74,75.71,0.6605,0.1373,0.2022,2.16,0.87,90,1.6
90.72,76.2,0.4935,0.2528,0.2537,1.68,1.14,26,0.7
90.12,64.85,0.8138,0.0456,0.1406,2.44,0.41,90,0.9
89.5,53.85,0.8761,0.0177,0.1062,2.56,0.2,90,1.4
89.55,76.54,0.4481,0.2863,0.2656,1.54,1.18,90,0.8
89.19,53.56,0.8901,0.0155,0.0943,2.7,0.2,90,1.0
87.7,65.35,0.6127,0.1667,0.2205,2.01,0.94,90,0.5
88.41,50.53,0.8755,0.0214,0.1032,2.67,0.26,63,0.4
87.51,57.45,0.6343,0.1514,0.2144,2.05,0.89,90,0.1
86.72,84.07,0.3266,0.3959,0.2775,1.21,1.36,90,0.1
83.3,68.44,0.5009,0.2421,0.2571,1.65,1.07,90,0.7
82.78,81.41,0.2833,0.4477,0.269,1.14,1.51,90,0.2
82.61,69.33,0.5669,0.1762,0.2569,1.64,0.79,90,0.6
82.5,73.46,0.3873,0.3597,0.2531,1.56,1.49,90,0.0
82.26,82.11,0.3578,0.3816,0.2606,1.42,1.47,90,0.6
88.54,78.75,0.3854,0.35200000000000004,0.2627,1.35,1.28,28,0.1
90.18,79.48,0.4018,0.3445,0.2537,1.45,1.33,90,0.1
89.99,78.68,0.6057,0.1745,0.2198,1.89,0.9,90,0.8
90.0,81.85,0.5681,0.1771,0.2548,1.56,0.74,90,0.4
90.49,74.4,0.546,0.2299,0.2241,1.89,1.15,90,0.8
87.96,86.45,0.2674,0.4441,0.2885,0.91,1.26,90,0.5
86.56,87.55,0.4591,0.2525,0.2884,1.27,0.87,90,1.2
86.01,83.39,0.3362,0.4384,0.2255,1.57,1.82,90,0.3
84.11,82.65,0.5088,0.2787,0.2124,2.07,1.5,90,0.3
89.86,56.79,0.748,0.0871,0.1649,2.46,0.72,90,0.8
90.14,81.98,0.5895,0.1871,0.2234,2.03,1.06,90,0.3
89.72,65.14,0.6696,0.1378,0.1926,2.33,0.96,90,0.1
88.35,52.88,0.9008,0.0146,0.0847,2.87,0.22,90,1.2
87.01,52.12,0.8736,0.0286,0.0978,2.94,0.4,90,0.5
87.29,80.21,0.411,0.3313,0.2577,1.58,1.39,90,0.4
87.41,64.49,0.8024,0.0547,0.1429,2.52,0.51,90,0.6
87.05,57.89,0.8488,0.0406,0.1106,2.9,0.51,90,1.3
87.17,59.78,0.6867,0.123,0.1903,2.29,0.86,90,0.3
86.98,70.52,0.7089,0.1037,0.1874,2.24,0.72,54,0.1
85.99,60.84,0.8164,0.0512,0.1324,2.65,0.52,90,1.5
85.93,73.09,0.5031,0.2597,0.2372,1.9,1.31,90,0.9
85.12,54.08,0.8576,0.0305,0.112,2.7,0.36,90,0.8
84.53,61.72,0.6217,0.1576,0.2208,2.01,0.9,90,0.2
84.52,58.03,0.8344,0.0468,0.1188,2.84,0.55,90,1.7
85.02,76.37,0.4367,0.3141,0.2491,1.71,1.42,90,0.9
