TdA_spi1,A_spi2,TdA_prob1,A_prob2,probtie,TdA_proj_score1,A_proj_score2,Min,xG
91.07,64.09,0.8358,0.0438,0.1203,2.67,0.47,90,1.9
90.62,85.04,0.4314,0.3359,0.2327,1.79,1.56,90,0.3
91.38,78.83,0.66,0.1468,0.1932,2.25,0.96,90,0.2
91.44,69.04,0.7,0.1201,0.18,2.33,0.85,90,0.7
77.15,54.25,0.5384,0.2193,0.2423,1.81,1.07,86,1.2
76.45,56.81,0.6679,0.1321,0.2,2.21,0.87,29,0.1
76.53,77.97,0.44,0.3215,0.2386,1.85,1.56,90,1.1
78.47,84.62,0.2212,0.5436,0.2352,1.16,1.93,45,0.3
76.9,60.37,0.6339,0.1497,0.2163,2.06,0.88,90,0.4
76.92,62.12,0.4617,0.2882,0.25,1.74,1.33,90,0.9
77.55,55.73,0.5251,0.2278,0.2471,1.79,1.1,84,0.3
77.8,86.94,0.3102,0.4339,0.2559,1.36,1.64,78,0.3
81.11,83.42,0.2566,0.4903,0.253,1.18,1.72,90,0.3
80.02,48.01,0.8162,0.0439,0.1399,2.46,0.41,81,0.9
81.21,55.69,0.5933,0.1897,0.217,2.14,1.13,90,0.5
81.77,60.58,0.6894,0.1124,0.1983,2.15,0.74,80,0.7
82.48,84.01,0.4251,0.3324,0.2425,1.78,1.55,90,0.6
82.36,59.0,0.5803,0.2023,0.2174,2.15,1.2,23,0.6
83.18,52.54,0.6202,0.1533,0.2265,1.95,0.85,80,0.2
85.45,58.88,0.8039,0.0659,0.1302,2.9,0.74,67,0.4
85.0,52.77,0.8327,0.0404,0.1269,2.61,0.42,90,0.5
84.38,56.02,0.6303,0.1619,0.2078,2.2,1.02,71,0.6
85.7,83.86,0.3374,0.4218,0.2408,1.59,1.8,90,0.9
86.14,49.71,0.8649,0.0273,0.1078,2.73,0.33,69,0.5
86.8,62.56,0.7889,0.0711,0.1401,2.76,0.73,83,1.3
86.29,90.58,0.3596,0.3981,0.2424,1.64,1.73,88,0.4
86.79,49.97,0.7119,0.1086,0.1795,2.39,0.82,90,0.6
86.44,45.81,0.7456,0.0906,0.1638,2.52,0.76,83,1.2
86.98,85.16,0.4718,0.2843,0.2439,1.82,1.37,90,0.9
86.56,59.95,0.6356,0.1652,0.1992,2.34,1.12,89,0.8
88.57,57.23,0.8544,0.0423,0.1034,3.12,0.6,87,0.6
88.79,55.18,0.8653,0.0343,0.1004,3.02,0.48,90,0.7
88.25,78.99,0.4337,0.3149,0.2514,1.69,1.41,90,0.0
88.03,60.08,0.8244,0.0509,0.1247,2.8,0.57,90,1.3
88.76,62.98,0.6407,0.1587,0.2006,2.3,1.06,90,0.4
89.16,57.22,0.8668,0.037000000000000005,0.0962,3.19,0.57,90,0.7
89.26,52.23,0.7268,0.0956,0.1776,2.34,0.72,84,0.4
88.84,51.67,0.8861,0.0246,0.0893,3.04,0.38,90,0.8
87.61,80.7,0.404,0.3484,0.2476,1.68,1.55,90,0.1
87.19,56.04,0.8365,0.0398,0.1238,2.65,0.43,84,0.8
88.86,64.54,0.8203,0.0505,0.1292,2.75,0.55,86,1.4
89.48,71.17,0.5778,0.1953,0.2269,2.06,1.12,90,0.7
90.23,62.9,0.8582,0.031,0.1108,2.77,0.38,90,0.4
90.02,71.11,0.5907,0.1818,0.2275,2.03,1.03,70,0.4
89.88,85.53,0.3835,0.3621,0.2544,1.61,1.56,90,0.5
90.63,67.03,0.8346,0.0408,0.1246,2.69,0.45,90,1.5
90.83,86.65,0.3906,0.3488,0.2606,1.57,1.47,65,0.4
90.64,93.72,0.3758,0.3658,0.2583,1.55,1.53,90,0.2
90.56,59.37,0.6881,0.1054,0.2065,2.07,0.66,90,0.5
91.03,59.7,0.8740000000000001,0.0236,0.1024,2.78,0.31,90,0.5
91.06,81.23,0.4648,0.2952,0.24,1.91,1.49,89,0.1
90.54,57.5,0.8604,0.0331,0.1065,2.9,0.44,90,1.0
90.57,70.13,0.6098,0.1638,0.2264,2.01,0.93,85,0.2
90.99,71.06,0.7993,0.0506,0.1501,2.42,0.45,74,0.0
90.69,55.12,0.7275,0.0968,0.1757,2.42,0.76,26,0.3
90.32,65.82,0.6661,0.1398,0.1941,2.38,1.0,90,1.4
91.37,79.12,0.6924,0.1161,0.1915,2.3,0.83,90,0.1
